,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
52,Benzeah,,"Kota Malang, Jawa Timur",89,4,165,6008,"🚀 Airdrop: BasketballDAO
💰 Value: 7200 $BBDAO
👥 Referral: 550 $BBDAO
📼 Audit: ContractChecker
🗞 News: Newsbsc
📅 End Date: 11 January 2022
🏦 Distribution Date: 12 January 2022

Talk with the Telegram Bot
https://t.co/N2bQCFoWPC

#Airdrop #Crypto #Airdrops #giveaway https://t.co/0FVmcohBXf",[]
53,bentoe_86,,"Pemalang, Indonesia",161,42,214,245,Crypto gaming will be absolutely HUGE!,[]
54,NandisCouch,"Don’t ever give up. Tomorrow, you will start your new journey, or you will continue the move forward. Those are your choices. #UnapologeticallyBlack 👊🏾💅🏾",,1541,484,21037,0,@Needle_of_Arya I’m sure they overlap with the section of youth that want us to pay off all their student loans because they were “tricked” into borrowing for a worthless degree… all while they “invest” into crypto “currencies” based on nothing.,[]
55,maknmyendz,"Crypto enthusiast trying to reach the moon one coin at a time 🪙🚀
$Kiba",,659,387,16560,0,"@joshnomics Check out our amazing community, and see what you've been missing 
$KIBA #KIBA #MEMECOIN #CRYPTO #ALTCOIN

Telegram: https://t.co/DGSG3gnlvl
Twitter: @KibaInuKiba
Website: https://t.co/W5jKN5PaxT
https://t.co/iWWYUvu6Z6 https://t.co/MLSdnvusVs","['KIBA', 'MEMECOIN', 'CRYPTO', 'ALTCOIN']"
56,grase563,"#CRO #ALH
#CryptoPres ¯\_(ツ)_/¯   $OPUL",,976,168,2583,7439,"🎁 #LastAirdrop 🎁

1000$ giveaway, 10 winners, 100 hours ✨ 

1. Follow us and rt this tweet 
2. Comment your BSC wallets 🤑

🕺💰😍 Last one before Private Sale 😍💰🕺

#Airdrop #Giveaway #Crypto",['LastAirdrop']
57,BogoRazvan,,,13,2,20,2,"I know I just made this twitter to warn #cryptotwitter about their #fakegurus failing “only up” #Crypto strat around $52k (last week of December 2021) &amp; to watch all these so called experts crumble bc they do no TA or do shit TA, but can I stay at 420 followers for the memes?","['cryptotwitter', 'fakegurus', 'Crypto']"
58,skrone786,I am a Freelancer,,499,12,1836,0,"@CryptoTownEU Fantastic project with great potential. The team's dedication and ingenuity with excellent fan support will make this the envy of the crypto world. Glad to be part.

@Imransk02 
@cryptoonline420 
@MegIslam4",[]
59,LLMC63470779,,,148,2,2,464,"First 4000 people to RT get a little @InvsbleFriends / @StonerApeClub
or @LeopardDynasty

Must be following @Rugal_Bull &amp; @NFTMINES  so I can DM you👍 Crypto 🤗 

Chosing  few Lucky winners❤️
LFG.

Turn on Notification 🔔🔔",[]
60,genereca,not loading 9gb/10gb as of today,,44,106,7978,848,"To celebrate our 500th member joining our 2022 #crypto fund we are giving away a $365 investment to one lucky person. Simply follow us, RT,like and comment on this tweet to be in with a chance of winning. #btc #eth #scarabcapital #win #competition https://t.co/b9i9gqEHmH",['crypto']
61,NasirAhmedNoel1,"𝘼𝙞𝙧𝙙𝙧𝙤𝙥 𝙆𝙞𝙣𝙜 𝙉𝙚𝙬𝙨 👑 ꪖᦔꪑỉ᭢

Smart China Address : 0x334645C67d2729bdAc80866Ea40F924b6a21d73D

TRC20 Address :
TSgq1eGsVpbhBiJXBkhrT53hWo8uC8Pk8E",,1594,35,1889,0,"@Novaland_io This is a Fantastic project with great potential.The team's dedication and ingenuity with excellent fan support will make this the envy of the crypto world. I am so glad to be part of this.

@Fandisoraja
 
@siimonn_91 

@BlogNajmul 

@GAHOfficial_TW 

@masud888",[]
62,chaee_Bigwin2,#6️⃣5️⃣🎹 #TeamPulte #SUPERFAMILY #callistars #kyliegives #ayuminati #VJFAM #Deukiess #NiceHwan #miones #ajummacares #WonByRich #ChauncyGang #NFT,,1505,15,6041,1132,"💰 Giveaway 💰

WORTH 400 busd | $400 🐸
 
🎁 4 lucky winners will get $100 🔥
 
To Enter:

1️⃣Follow :
@Diffuse64745943
@LaunchNFTs
@PepeStuff
@CRYPTO__BUNNIES
2️⃣❤️&amp; RT
3️⃣📌Tag Friends

⏰Ends in 24h 💯

#NFTCommunity #Solana https://t.co/OAA6UZluES",[]
63,jdsNFT,"(3,3) #SolanaNFT Founder, Producer, 3D Artist, Defi Enthusiast. Building in the NFT space: @soundsol_ & @arch_meta.",Berlin,731,271,299,18,"You guys asked, we delivered. Today is one of those days we pushed hard for you 🤝

Wrapped Staked FHM is here now to increase #utility of our network for community/holders 🧙‍♂️

You make this worth all of the hard work thank you for everything $FHM FAMILY🙌
#DeFi $FTM #BTC #crypto https://t.co/K97w8EsEQM",[]
64,Underdog1775,Trying to make sense of it all.,,55,53,113,0,"@oxywashere @SohoKidsNFT @BrightPalz Also, excited for some beautiful art from @cardanoproxies minting Jan 8th 7pm UTC. Their project is meaningful and will impact many aspects of crypto and philanthropy. Their art is amazingly detailed and gorgeous. https://t.co/pfrQ0aYMiz",[]
65,ruto231,,,851,36,1639,0,"@potsdao What an amazing project and I know it's going to be a long massive success in the crypto world..

@Slimhil
@bundostika
@Zemira25320701

#PotsDao #Solana #SolanaAirdrop #Giveaway","['PotsDao', 'Solana', 'SolanaAirdrop', 'Giveaway']"
66,CryptoTharen,,"New Jersey, USA",1357,369,1122,0,""" #GreatburninMyteamFinance #GreatburninMyteamCoin aims to bring together the crypto world and athletes
""
🔍
🔍
🔍

@myteamchain @myteam_finance #BSC 

DECENTRALIZATION","['GreatburninMyteamFinance', 'GreatburninMyteamCoin', 'BSC']"
67,noin55685119,noin,,2133,66,11954,1,"Good project must be join
@dggonzalez
@RT
@aalamin999

#Airdrop #Crypto #Airdrops #Giveaway https://t.co/V4IUWLvZiK","['Airdrop', 'Crypto', 'Airdrops', 'Giveaway']"
68,crypto_idea_coi,"Way to the Cryptoworld
Announcement chat: https://t.co/lpOJm9hNjH
Community chat: https://t.co/RUGBf0FUqE",,72511,77384,1242,0,@bitcoin_queen_ @FantomMaker Probably the best January event,[]
69,shesoleilcityx,"please follow back! @soleilcityx_22 got suspended.
This is not a multi account.",,1128,52,3912,8156,"$500 | 7 JUTA RUPIAH OR IPHONE XR FOR ONE WINNER IN 72 HRS 🕊

- retweet &amp; follow (turn on all notif 🔔)

@GAContest_ 
@Crypto_Contest_
@Crypto_Adams https://t.co/JdAFZkiKxt",[]
70,AHMADYU68893288,Rada2 Gaptek,,578,81,1904,1,"@StarlyFinance join first airdrop share their 
@SOHIDRA 
@sudu 
@faintedsad 
@jankoum 
@FaridRached
@sona
@fonni
@tushar
@riad
@fauchat
@vider
@vidi
#bsc #crypto
#bscarmy
#Earncrypto",[]
71,AjayPlayx,,,598,42,960,533,"🌎MAGIC EDEN x @TheCavemenClub GIVEAWAY🦣

To celebrate Cavemen's listing on ME and their rebranding to #CAVEWORLD, we're giving away 2 Crypto Cavemen NFTs (Worth $500+ EACH)!

Rules:
1⃣ Follow @MagicEden_NFT &amp; @TheCavemenClub
2⃣ Like &amp; RT
3⃣ Tag 3 Friends

WINNER IN 24 HOURS!⌛️ https://t.co/OZ0LDfElMB",['CAVEWORLD']
72,Deividdjoon,,,353,8,2142,132,"New Airdrop: Multiverse (MUER)
Rewards: 10 MUER (~300$)
Referral: 10 MUER (~300$)
Winners: All Participants
End Date: 25th January, 2022
Distribution: 25th January, 2022

🔗 Airdrop Contest: https://t.co/QPM719yyRX

#Airdrop #Crypto #Bitcoin #BSC #AirdropAchiever #Multiverse https://t.co/8tI0ytMy7Z",[]
73,feftian1,deposito,"Bandung, Jawa Barat",1887,42,6063,1236,"Yo CKC!
 What is your favourite #crypto project?",['crypto']
74,crypto_kfx,"Got bored and found myself on #Opensea.                                       #BAYC 4522. Might share some other boring stuff (like #ApeSec, coming soon…)",#VegasApes,1204,1261,1286,0,"Had no idea I was gonna end up there last night, but glad I did. Great times with an awesome group! Looking forward to the next time we run into each other #CES2022 #NFTCES #VegasApes #WAGMI https://t.co/9MFFAciLeb","['CES2022', 'NFTCES', 'VegasApes', 'WAGMI']"
75,JAZEBE999,‏قهرمان خودت باش,,1003,5,1521,6008,"🚀 Airdrop: BasketballDAO
💰 Value: 7200 $BBDAO
👥 Referral: 550 $BBDAO
📼 Audit: ContractChecker
🗞 News: Newsbsc
📅 End Date: 11 January 2022
🏦 Distribution Date: 12 January 2022

Talk with the Telegram Bot
https://t.co/N2bQCFoWPC

#Airdrop #Crypto #Airdrops #giveaway https://t.co/0FVmcohBXf",[]
76,thabiso_kwena,let me help you promote your crypto project for a small fee 😉,,1929,56,3428,80,"🎁 #FirstAirdrop2022 🎁

1000$ giveaway
Next 10 winners ✨

1. Follow @kedruga and rt this tweet 
2. Comment your BSC wallet 👀

#Airdrop #Giveaway #Crypto #cryptocurrency #NFTs #NFTGiveaway #SHIB #BabyCheemsInu https://t.co/Y5JARPwsP7",['FirstAirdrop2022']
77,KivancSahinbas,,,2,148,83,0,Disappointed with your investment in crypto? Get into day trading and buy reliable stocks without breaking the bank and enjoy returns.,[]
78,Deividdjoon,,,353,8,2142,96,"New Airdrop: Pope Inu 
Value: $100,000
Rewards: 10,000,000 POPE
Winners: 3000 Winners
End Date: 9th February, 2022
Distribution: After PancakeSwap listing

🔗 Fill the Airdrop Form: https://t.co/ULgyrWS223

#Airdrop #Crypto #Bitcoin #BSC #AirdropAchiever #PopeInu https://t.co/8Sr6sv8PHo",[]
79,Caterrific_,#NFT #PLAY2EARN #PLAYTOEARN #CRYPTO #GAMING #CRYPTOGAMING #BLOCKCHAIN #BNB #BTC #Bitcoin #ETH #ALTS,Schweiz,1406,800,22775,36,"$TCT #wildcardgame @wildcardp2e - sounds like best crypto game !! Great Stuff !! If you are working on something that you really care about, you don’t have to be pushed. The vision pulls you. Bullish!! #BlueChipTaco #bitcoin https://t.co/hZg6zwEZdT",['wildcardgame']
80,mkhelfman,"Top #bitcoin writer Medium, Hacker Noon, @cryptowriter_ | newsletter https://t.co/bylLelw0Wv | Books: Consensusland; Bitcoin or Bust; From Bust to Boom","Maryland, USA",185,1971,4250,0,"@KevinSvenson_ @crypto_birb Market didn’t deliver on expectations, lots of people let down.",[]
81,itejck,I ❤️ Crypto Tokenomics that can help those who need it most. ❤️ #Defi ❤️ 🥷 $SHINJA #SHINJA 🥷#DOJOSWAP #KATANAWALLET #KUSARIBLOCKCHAIN #DOJOVERSE #blockchain,,853,486,12635,0,"@sofianzahrieh7 @WatcherGuru @Shib_nobi If you haven’t grabbed #SHINJA yet, it’s a smart time to swoop a bag. 🦾🥷❤️
🥷#DOJOSWAP 🥷🌎🚀🌚
🥷#KATANAWALLET🥷🥷🌎🚀🌚                             🥷#DOJOVERSE 🥷🥷🥷🌎🚀🌚
🥷#KUSARIBLOCKCHAIN 🥷🌎🚀🌚#DeFi #crypto #cryptocurrency #blockchain #NFT #Shibnobi #DeFi @Shib_nobi","['SHINJA', 'DOJOSWAP', 'KATANAWALLET', 'DOJOVERSE', 'KUSARIBLOCKCHAIN', 'DeFi', 'crypto', 'cryptocurrency', 'blockchain', 'NFT', 'Shibnobi', 'DeFi']"
82,halyesya,Menjemput sejumput berkat hidup dan kehidupan,bekasi,1465,435,6921,89,"This week @Binance:

🔸 Weekly market summary
🔸 New NFT sale model
🔸 2021 crypto recap
🔸 &amp; much more 👇

https://t.co/EhtW2kcFDh",[]
83,moeosman7,“Love the life you live. Live the life you love.” ~ Bob Marley. Use my referral link https://t.co/jAkdBbzWi8 to sign up for https://t.co/Y4fjGK43F8 and we both get $25 USD,Canada,31984,29091,89781,1357,How to buy Aquagoat? We got you covered! #AquaGoatV2 #aquagoatarmy #BSCGem #PancakeSwap #Crypto https://t.co/SaYGtvJJFJ,"['AquaGoatV2', 'aquagoatarmy', 'BSCGem', 'PancakeSwap', 'Crypto']"
84,boicifer,you gotta be kidding me.,real nigga headquarters v2,48,14,117,0,crypto scammers who only target NFT users should be rewarded for their heroic efforts,[]
85,_SAUCEDALE,PHOTOGRAPHER|IG:SAUCEDALE saucedalebooking@gmail.com,"Scottsdale, AZ",601,597,17175,2,"@JakeGagain $EGT #ELONGOAT #CLAIMYOURGOAT #EGTARMY #ELONGOATTOKEN #EGT 
If you're not in right now, what's wrong with you??
IT'S GOING TO KILL SOME(PLURAL) ZEROES!!!!!
https://t.co/aNQbmoVXgZ","['ELONGOAT', 'CLAIMYOURGOAT', 'EGTARMY', 'ELONGOATTOKEN', 'EGT']"
86,RAMSEYUNKNOWN,JUST ASK IF YOU  WANT TO KNOW JUST FOUND OUT 8-12-13 MY SON HAS AUTISM NERVOUS BUT LEARNING CANT FAIL MY SON #TEAMFOLLOWBACK #COWBOYSFANFOREVER !!!!!!,"Kansas City, MO",5645,5156,115195,0,Customers of a crypto exchange in Hong Kong reportedly say their funds are frozen https://t.co/iNjigPtN1m,[]
87,Danielesesta81,"#OccupyDeFi✊ #PeopleMaxi - Together we are
One - Frog Nation - 🐸🐸🤝💪 Do not Live asking
Permission",🌖,0,34,39,0,@SIR_VENOM_IK How is the crypto market going for you? Send A Dm,[]
88,Shantanu31dec,Jolly nature,,54,73,3690,169,"I smell #BabyDogeCoin on @binance 

RT &amp; FOLLOW us if you BELIEVE

#BabyDoge #BabyDogeCoin· #BabyDogeFamily #Binance #Babydoge1MillionHolder #Crypto","['BabyDogeCoin', 'BabyDoge', 'BabyDogeCoin·', 'BabyDogeFamily', 'Binance']"
89,MattarJamil,,"Fremont, CA",168,47,752,1,"@CryptoLife4Eva Antis Inu $ANTIS

The hottest meme with tangible, mining utility 🚀

#AntisInu 
#BNB                                                   
#Dogecoinarmy 
@elonmusk 
@cz_binance @MattWallace888 #cryptocurrency #Crypto #NFT #INFINITYTOKEN $IT @DuncanGray #Saitama @SnoopDogg @InuAntis https://t.co/Wf5ydLhIqx","['AntisInu', 'BNB']"
90,mostcurious2,💖Helping People Earn Passive Income🤑 #CryptoCurrency 🦇🔊#BTC #ETH #TRON #Solana #Gala #Helium 💜🌿#CryptoHippyLady,"Illinois, USA",1937,1402,5796,0,These are the 5 best performing cryptocurrencies over the past week amid bitcoin bear market #CryptoCurrencies #bitcoin via https://t.co/40V4NhnsH9 https://t.co/0GuT0vdxKp,"['CryptoCurrencies', 'bitcoin']"
91,WayneDickison,Bio is classified Top Secret.,Both everywhere and nowhere. ,672,674,35179,0,“Crypto mining” https://t.co/qMJJFcJH2b,[]
92,Habdu88,Great things,,151,44,632,3,What's your favorite down-day strategy for crypto?,[]
93,0xSivareddy,Student,"Bargarh, India",2279,354,1941,0,@SafinSiddiquee @SonuGup49628987 @Crypto_Jargon nice,[]
94,Millionaire54,,,4160,1165,32622,174,"AMC on track to accept Dogecoin, Shiba Inu $SHIB crypto payments in 2022

Source:
https://t.co/jfTo1vkwIG",[]
95,quickUP0,to be better,,236,65,296,0,"@98Kdao @wikitoptop @CardanoStiftung Project with great potential.The team's dedication and ingenuity with excellent fan support will make this the envy of the crypto world. I am so glad to be part of this.
@wksm10
@JayHao8 
@disteleeer",[]
96,NO_LOOSE_ENDS,"Investor 
Crypto enthusiasts
NFT collector
Not a financial advisor","Texas, USA",65,15,378,0,Wondering if you should get into #bitcoin?  Maybe #Ethereum? Brace yourself bc this is what it's like to ride the #crypto train https://t.co/3GpIfTRWba,"['bitcoin', 'Ethereum', 'crypto']"
97,BlogPuerto,,,461,96,4918,0,"@CoinMarketCap 2022 the Shiba Inu Year! Why? Simple, #Shibarium, the Game, solid and secure ecosystem and the most importantly, the community. Real people that are 100% sure that #Shib will be into the first 5 crypto established projects in the world and a Global Currency for the next century!","['Shibarium', 'Shib']"
98,TheRaccoonZzz,Life is a video game without save button.,,168,56,76,0,"One thing unbelievable for me is 90% people in crypto and NFT don't know how to read basic charts😐

My frens, this game control by those guys (or raccoon) look at the chart 24/7/365, they have bills or trills to play with. Not these influencers on social. Start learning NOW !",[]
99,Prince_omobee,"Broke #NFT lover☹️

| Crypto enthusiast | ambassador | @Exeedme #XEDSoldier | @shuttle_one | @MatrixETF",in my mind😌,1208,1389,28444,0,"📢📢 New Liquidity Pool for @Exeedme $XED

You can now swap $XED directly for $WETH on UniSwap and Polygon Network 🔥🔥

The $XED / $WETH pair is now Live!! Go trade: https://t.co/i4VXb421aL

For more info ⤵️
https://t.co/LIl4Jmcwq2

#XEDSoldier #DeFi #Crypto #BSC #ETH #NFT https://t.co/9gsoYjm1jb","['XEDSoldier', 'DeFi', 'Crypto', 'BSC', 'ETH', 'NFT']"
